,points
"Rockefeller, David",2545
"O'BRIEN, LAWRENCE F.",2545
"BADILLO RIVERA, HERMAN",2545
"PLIMPTON, FRANCIS T P.",2545
"TEKOAH, YOSEF",2545
"Vaughn, Jack Hood",2544
"STASSEN, HAROLD E.",2544
"KENNEDY, JOSEPH PATRICK 3D",2544
"SABRY, ALY",2544
"PATMAN, WRIGHT",2543
"MORTON, ROGERS C B",2543
"Heiskell, Andrew",2543
MAO TSE‐TUNG,2543
"YARBOROUGH, RALPH W.",2543
"Washington, George",2543
"FREEMAN, ORVILLE LATHROP",2542
"SARAGAT, GIUSEPPE",2542
"JOXE, LOUIS",2542
"BRYDGES, EARL W",2542
"KUPFERMAN, THEODORE R.",2542
"Carey, Hugh L",2541
"SULZBERGER, CYRUS L.",2541
"BUCKLEY, CHARLES A.",2541
"HELLER, WALTER WOLFGANG",2541
"Sviridoff, Mitchell",2540
"MARSHALL, GEORGE CATLETT",2538
"PODGORNY, NIKOLAI VIKTORIVICH",2538
"NITZE, PAUL H.",2538
CHIAO KUAN-HUA,2538
"Tunney, John V",2538
THANOM KITTIKACHORN,2537
"SPRETI, KARL VON",2537
"Ruckelshaus, William D",2537
"BARUCH, BERNARD MANNES",2536
"BOTEIN, BERNARD",2536
"WIRTZ, W WILLARD",2536
PRICES,2534
"DURYEA, PERRY BELMONT JR",2533
"ZAFRULLA KHAN, MUHAMMAD",2533
"MURPHY, MICHAEL JOSEPH",2533
"YOUNG, WHITNEY MOORE JR.",2532
"BANCROFT, HARDING F",2530
"FARBSTEIN, LEONARD",2530
"Lehman, Orin",2529
"Rangel, Charles B",2529
"Laird, Melvin R",2528
"DUBRIDGE, LEE A",2526
"Johnson, U Alexis",2525
Huang Hua,2525
"Stein, Herbert",2522
"HABER, HERBERT L",2513
"BATTISTA, VITO P.",2507
"GRIFFIN, ROBERT P",2506
"CHURCH, FRANK",2493
"GEROSA, LAWRENCE E.",2491
"LEFKOWITZ, LOUIS JACOB",2485
"BIRRELL, LOWELL MCAFEE",2051
"Odets, Clifford",2051
"Einstein, Albert",2051
"Doyle, Arthur Conan",2051
"Moore, Marianne",2051
"Paret, Benny",2051
"LAHR, BERT",2051
"MORIARTY, JOSEPH VINCENT",2051
"Atkinson, Brooks",2051
"BYKOVSKY, VALERY FYODORAVICH",2051
"STEUBEN, FRIEDRICH WILHELM VON",2050
"Maugham, W Somerset",2050
SIKKIM,2049
"THALER, SEYMOUR R.",2049
"GOULD, SAMUEL B.",2049
"Forster, E M",2049
"SPEER, ALBERT",2049
"DEANGELIS, ANTHONY",2048
"Young, Whitney M Jr",2048
"Shaw, George Bernard",2048
"RICKOVER, HYMAN GEORGE",2048
"VALACHI, JOSEPH M.",2048
"KOOTA, AARON E.",2048
"Sinclair, Upton",2048
"AICHI, KIICHI",2048
"LANDAU, LEV DAVIDOVICH",2048
"ROBB, CHARLES SPITTAL",2048
"BIDWELL, J TRUMAN",2048
"CAVANAGH, BARBARA JOAN",2048
"Stengel, Casey",2048
"Kent, Rockwell",2047
"FEDORENKO, NIKOLAI TROFINOVICH",2047
"Kreisky, Bruno",2047
"GAMBINO, CARLO",2047
"Frei Montalva, Eduardo",2047
"FUNSTON, GEORGE KEITH",2047
"RUBY, JACK L",2047
"TERESHKOVA, VALENTINA VLADIMIROVNA",2047
HASSAN II,2047
"TOGLIATTI, PALMIRO",2047
J STEIN,2046
"MIRO CARDONA, JOSE",2046
"CONSTANTINE, CROWN PRINCE OF GREECE",2046
"HEATH, EDWARD RICHARD GEORGE",2046
"RABIN, ITZHAK",2046
"Williams, Tennessee",2046
"LINDSAY, JOHN V, ASSNS.",2046
"Rubinstein, Helena",2046
"D'ANGELO, ARMAND",2046
"Eisenhower, John S D",2046
"KENNAN, GEORGE FROST",2046
"SUBANDRIO, RADEN",2046
"VAGNOZZI, EGIDIO",2046
"SIEGEL, SEYMOUR N.",2046
"Bailey, F Lee",2046
"AGUIYI-IRONSI, JOHNSON T U.",2046
