,points
ROUND-WORLD,1020
PENNSYLVANIA AVENUE REBUILDING,1020
CATHOLIC CHARITIES,1020
Private Aircraft,1020
Seeds,1020
EUROPEAN-AFRICAN,1020
COLLECTIONS (PRIVATE),1020
STOWAWAYS,1020
REACTIONS US,1020
QUIZ SHOWS,1020
PORTUGUESE,1020
"GEMINI VII (US 2-MAN ORBITAL FLIGHT IV, LAUNCHED DEC 5 '65)",1020
Memory,1020
IRON CURTAIN,1020
3D AUG 16 PAR,1020
NEWS PHOTOGRAPHY,1020
MERCHANT SHIP PROJECTS,1020
AHIDJO VISIT TO US,1020
WHITE HOUSE CONF ON INTERNATL COOPERATION,1020
LARD,1020
LEPROSY,1020
D 9 PAR,1020
INTERNATL (JOINT) MOVES TO CONTROL AND EXPLORE SPACE,1020
MACMILLAN VISITS TO FRANCE,1020
"CHURCHES, EXEMPTION OF",1020
LEGAL AGE FOR PURCHASES,1020
MATH,1020
COMPANY REPORTS (GENERAL),1020
ADULT EDUCATION CONFERENCE OF THE USA,1020
NEUTRON BOMB,1020
ACADEMIC FREEDOM,1020
Tea,1020
Geography,1020
"RACIAL SEGREGATION IN THE SOUTH - NEGROES AND WHITES CLASH, JACKSONVILLE, FLA",1020
USSR COSMIC ROCKET IV (LAUNCHED APR 2 '63),1020
DEFENSE COLLEGE,1020
"ORIENTALISTS, INTERNATIONAL CONGRESS OF",1020
MALCOLM X - NYC HOME OF BLACK NATIONALIST LEADER FIRE BOMBED,1020
PEARSON VISIT TO US,1020
DIET AND NUTRITION (GENERAL),1020
VETERANS ASSOCIATIONS,1020
JAN 18 PAR,1020
"MOOSE, LOYAL ORDER OF",1020
RACIAL PROBLEMS AND CIVIL RIGHTS MOVEMENT IN THE NORTH - RIOTING IN CHICAGO,1020
SPECULATIVE TRADING,1020
TRIPS ABROAD,1020
WESTERN COOPERATION (MULTILATERAL),1020
AUXILIARY FORCE,1020
JON 14 PAR,1020
PRESS WEEK,1020
CAPTIVE NATIONS WEEK,1020
DECORATIONS END HONORS,1020
HOUSEWORK,1020
"ACCESSORIES, ENGINES AND PARTS",1020
STEEPLECHASE,1020
"PRICES, PROFITS AND PR ICE-WAGE-PROFIT RELATIONS",1020
FOREIGN AID (US),1020
ESSO GETTYSBURG (TANKER),1020
MENTAL HYGIENE,1020
3D MAY 16 PAR,1020
4TH MAY 2 PAR,1020
APRIL 20 PAR,1020
FINANCE (GEN),1020
28TH DIST,1020
DIPHENYLHYDANTOIN,1020
Thyroid Gland,1020
HARVARD UNIVERSITY PRESS,1020
APPTMTS AND PERSONNEL CHANGES,1020
SEN (DODD) SUBCOM PROBE,1020
MARITIME DAY AND MERCHANT MARINE WEEK,1020
1ST MAY 24 PAR,1020
Loitering,1020
TV USE,1020
PRESS CONFERENCES,1020
RACIAL PROBLEMS AND CIVIL RIGHTS MOVEMENT IN THE NORTH,1020
OPEN,1020
"GEMINI IV (US 2-MAN ORBITAL FLIGHT II, LAUNCHED JUNE 3 '65)",1020
ERHARD VISITS TO US,1020
Basques,1020
"RANGER IX (US LUNAR PROBE, LAUNCHED MAR 21 '65)",1020
Photography,1020
REVOCATION OF PASSPORTS OF PROF LYND AND OTHERS WHO VISITED N VIETNAM - LYND VISIT TO GB AND STATEMENTS ON US POLICY MADE THERE,1018
"PARKS, PLAYGROUNDS AND OTHER RECREATIONAREAS",1018
2D AUG 1 PAR,1018
Post Offices and Equipment,1018
PHILADELPHIA INQUIRER,1018
VILLARD HOUSES (NYC),1018
US RECONNAISSANCE FLIGHTS OVER N VIETNAM,1018
"ANDROUTSOPOULOS, CONSTANTINE",1018
SPANISH‐SPEAKING GROUPS,1018
OCCUPATION (WORLD WAR II),1018
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GENERAL),1018
"US POLICY AND REACTION TO IT - BRIT SEC BROWN HOLDS TALKS, MOSCOW, ON PEACE MOVES - CENSORED TRANSCRIPT OF US SENATE COMMITTEE HEARINGS BEFORE '64 TONKIN GULF RESOLUTION MADE PUBLIC - NYC MAYOR LINDSAY CRITICIZES ADM POLICIES",1018
FOREIGN REACTION TO WAR AND US POLICY,1018
NARCOTICS COORDINATOR,1018
"JURISTS, WORLD CONFERENCE OF",1018
Murals,1018
TRAILERS,1018
WILLIAMS (ASST SEC) TOURS,1018
EFFECTS AND HAZARDS OF RADIATION,1018
BONUS,1018
LOOK (PUB),1018
DARTS,1018
CHOU EN-LAI VISIT,1018
Isotopes,1018
COMMUTER BENEFIT TAX,1018
NONALIGNED NATIONS - UAR-YUGOSLAV-INDIAN CONF PLANNED,1018
"EMPLOYMENT OPPORTUNITY COMMISSION, EQUAL",1018
COUNTER-MEASURES ON SALES AND SMUGGLING,1018
NEWS MEDIA COVERAGE,1018
BOILERS,1018
ARAB REFUGEES ISSUE,1018
"POWS, CONDUCT AS",1018
INTERNATL ED,1018
MEMOIRS,1018
DOUGLAS-HOME VISIT,1018
HEALTH SERVICES ADM,1018
POLITIES AND GOVERNMENT,1018
PAY-TELEVISION,1018
AD,1018
ANNUAL COMMUNITY STREET THEATER FESTIVAL,1018
"WORKER, THE (PUB)",1018
RAMPARTS MAGAZINE DISCLOSURE ON MICHIGAN STATE '55-59 UNIVERSITY ROLE INVOLVING CIA AND TRAINING OF POLICE FOR NGO DINH DIEM REGIME,1018
CANOEING,1018
"RACIAL PROBLEMS AND CIVIL RIGHTS ACTIVITIES IN THE NORTH, INCLUDING THE MIDWEST AND WEST",1018
EXEC SERVICE CORPS,1018
TAXATION AND FINANCE,1018
EXPLORER VIII (US SATELLITE LAUNCHED NOV 3 '60),1018
STUDEBAKER-PACKARD,1018
DACE (US NUCLEAR ATTACK SUBMARINE),1018
ADULT EDUC,1018
RACIAL DISCRIMINATION,1018
FED,1018
ADVERTISING SECTIONS,1018
ANIMATED FILMS,1018
NEW YORKER (PUB),1018
BUSINESS ROLE IN POL,1018
NERVA PROJECT,1018
USSR MARS ROCKET I (LAUNCHED NOV 2 '62),1018
ABSENTEE BALLOTS,1018
ARAB ISRAELI TRUCE - BORDER INCIDENTS - UNEF ROLE,1018
"THE WEEKLY REVIEW AND COMMENT ON MARKET TRENDS APPEARED IN THE SUNDAY PAPERS, SECTION III, PAGE 1",1018
TIROS VI (US WEATHER SATELLITE LAUNCHED SEPT 18 '62),1018
MARINER II (US SPACECRAFT LAUNCHED AUG 27 '62),1018
BUSINESSMEN'S ROLE IN POL,1018
GIFTS TO NEW YORK STATE,1018
EGOROV-BALTCH CASE,1018
SENATE (JACKSON) SUBCOMMITTEE PROBE OF US PLANNING,1018
SONGS AND SINGERS,1018
NEWHOUSE NEWSPAPERS,1018
TELSTAR I,1018
ALCOHOLICS ANONYMOUS,1018
JAN 29 PAR,1018
MYSTICS AND MYSTICISM,1018
SUCCESSION AND 'INABILITY' ISSUES,1018
US MANNED ORBITAL FLIGHT II (MAY 24 '62),1018
"RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES, NEGRO VOTER REGIS DRIVES",1018
"HANNAN, (ABP) PHILIP M",1018
VAN ALLEN BELTS,1018
OTEPKA CASE,1018
NEW YORK SUMMER FESTIVAL,1018
GIFTS AND LEGACIES TO NEW YORK CITY,1018
ECHO I (LAUNCHED AUG 12 '60),1018
MERCURY,1018
Gypsies,1018
"PAINTS, ENAMELS, LACQUERS, VARNISHES AND OTHER PROTECTIVE FINISHES",1018
MANEUVERS AND CRUISES,1018
D 27 PAR,1018
US MANNED ORBITAL FLIGHT IV (MAY 15 '63),1018
USSR MANNED SPACESHIPS V AND VI (LAUNCHED JUNE 14 AND JUNE 16 '63),1018
TESTS OF WEAPONS,1018
'GUERRILLA WARFARE UNITS AND OTHER SPECIAL FORCES,1018
Nickel,1018
Handbags and Purses,1018
"PARKS, PLAYGROUND AND OTHER RECREATION AREAS",1018
DENTAL INS,1018
SCRIPPS-HOWARD NEWSPAPERS,1018
LUNA 17,1018
NJ SUBURBAN COMMUNITIES,1018
OFFICE WORKERS,1018
TELSTAR II,1018
FOREIGN DEPLOMATIC CORPS,1018
LENIN PRIZES,1018
RANGER V,1018
PLUTO,1018
ULBRICHT VISIT,1018
BANKING,1018
"CENTRAL AMER PRESIDENTS CONF (SAN JOSE, CR)",1018
HUDSON RIVER CROSSINGS (GEN),1018
"PEGASUS I (US SATELLITE, LAUNCHED FEB 16 '65)",1018
SPUTNIK 1,1018
NEWSPAPER,1018
CUBAN SABOTAGE CASE ('62),1018
CHEM,1018
S VIETNAM POLITICAL AND ECONOMIC AFFAIRS - PREPARATIONS FOR ELECTION,1018
"SUNSHINE BOYS, THE",1018
"RELIGIOUS PRACTICES IN PUBLIC SCHOOLS, ISSUE OF",1018
AZORES,1018
VINSON ELKINS SEARLS CONNOLLY & SMITH,1018
COMMUNIST CHINESE-US RELATIONS - JOHNSON HOLDS OUT PROSPECT OF RECONCILIATION,1018
POTSDAM CONFERENCE (JULY-AUG 1945),1018
Lutheran Churches,1018
YEVTUSHENKO-STEINBECK EXCHANGE ON WAR,1016
"TRANSIT IV-B (US NAVIGATION SATELLITE, LAUNCHED NOV 15 '61)",1016
Nursing and Nurses,1016
POLITICS AND GOVERMENT,1016
USSR SATELLITES (UNMANNED,1016
TAIWAN (FORMOSA) AND OTHER NATIONALIST-HELD ISLANDS (INTERNAL AFFAIRS),1016
MILBANK‐FRAWLEY PROJECT,1016
NIKE X,1016
MARINER 5,1016
SURVEYOR 5,1016
SIDEWALK AND ST VAULTS TAX,1016
BUILDGINS AND EQUIPMENT,1016
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES - PRES JOHNSON HAILS NEGRO VOTING GAINS UNDER '65 VOTING RIGHTS ACT,1016
BIRTHS,1016
DIALOGUE (PUB),1016
ESHKOL VISITS ABROAD,1016
ATOMIC INDUSTRIAL FORUM,1016
OIL,1016
PUBLICATION BUILDINGS AND INSTITUTIONS,1016
"CAUSE, PREVENTION, DIRECTION, FIGHTING",1016
APPLIANCES,1016
WEAPON'S (GEN),1016
Tomatoes,1016
DISPLAY ADVERTISING,1016
MKT RESEARCH,1016
ELEC LIGHT BULBS,1016
RACIAL PROBLEMS AND CIVIL RIGHTS MOVEMENT IN THE NORTH AND MIDWEST,1016
VOTING RIGHTS ACT OF '65 - FED CT RULES ACT CONST,1016
MISC ITEMS - ECUMENICAL COUNCIL DECLARATION ON WAR AND PEACE - GEN PEACE MOVES,1016
VOTING RIGHTS ACT OF '65 - SUP CT ASKED TO RULE ON ITS CONST,1016
DOMESTIC RELATIONS (DEFUNCT),1016
WARREN COMM PROBE - PUB OF OSWALD DIARY OF STAY IN USSR - ATTY GEN KENNEDY SAYS OSWALD KILLED PRES,1016
Equal Rights Amendment,1016
FILARIASIS,1016
SERVICING,1016
"HOLIDAYS, VACATIONS AND SICK LEAVE",1016
"EXEC PRIVILEGE, DOCTRINE OF",1016
USSR VENUS PROBE 3,1016
"VENDERS, STREET",1016
OCALA (FLA) STAR-BANNER,1016
SAVINGS NOTES,1016
EXPRESS AND PKWAYS,1016
"BAND, THE",1016
ASSOCIATIONS AND SOCIETIES,1016
ISSUE OF NATL LIBERATION MOVEMENTS,1016
Sunburn,1016
MORNINGSIDE GEN NEIGHBORHOOD RENEWAL PLAN,1016
ZOND III,1016
SAVINGS NOTES (FREEDOM SHARES),1016
GOVT OPERATIONS (SEN COM) (MCCLELLAN),1016
MADDOX ACTIVITIES AS DECLARED CANDIDATE,1016
PRESIDENTIAL PAPERS AND OTHER DOCUMENTS,1016
HUNGER (SEN SELECT COM ON NUTRITION AND HUMAN NEEDS) (MCGOVERN),1016
AYUB KHAN VISIT TO USSR,1016
COMMUNISM ISSUE - CONSERVATISM ISSUE - ISSUE OF MIL IN POL,1016
ULTRA-HIGH FREQUENCY (GENERAL),1016
INVESTIGATIONS AND INVESTIGATORY,1016
MUSTACHES,1016
RELIEF PROGRAMS,1016
ACTION,1016
TEX PRIMARY RESULTS,1016
"COMMEM NAMINGS, MEMORIALS, COINS, STAMPS",1016
CONTRACT RENEGOTIATIONS,1016
"RACIAL PROBLEMS AND CIVIL RIGHTS MOVEMENT IN THE NORTH, INCLUDING THE MIDWEST AND WEST - REV DR KING OPENS CIVIL RIGHTS CAMPAIGN, CHICAGO",1016
CONSERVATISM ISSUE - THREATS TO DEMOCRACY,1016
WOOL,1016
NOVY ZHURNAL (NEW REVIEW) (PUB),1016
NYSE ANTITRUST CASE,1016
A MEMORIAL TO THE MARSHALL PLAN,1016
FREE WORLD DEFENSE,1016
INFILTRATION OF NORTH VIETNAMESE INTO SOUTH VIETNAM - NATIONAL LIBERATION FRONT,1016
COMMEM NAMINGS AND MEMORIALS,1016
"EMERGENCY, STATE OF NATL",1016
US SLAUGHTER CONTROL,1016
MARTHA R INGRAM (TANKER),1016
SHELL OIL COMPANIES,1016
RESERVE REQUIREMENTS,1016
COLLECTIONS,1016
MASER (MICROWAVE AMPLIFICATION BY STIMULATED EMISSION OF RADIATION),1016
Gymnastics,1016
INTELSAT (SATELLITES),1016
6TH O 16 PAR,1016
N 25 PAR,1016
Sterilization (Biological),1016
FILMS AND TAPE USE,1016
NY WORLD'S FAIR OF '39 (NYC),1016
Labor-Management Relations,1016
RACIAL SEGREGATION IN THE SOUTH - CIVIL RIGHTS ACTIVITIES THERE - INCIDENTS OF VIOLENCE,1016
US LAB CR,1016
"MASONS, FREE AND ACCEPTED ORDER OF",1016
O 9 PAR,1016
Coconuts,1016
RACIAL SEGREGATION IN THE SOUTH - NEW RACIAL STRIFE IN FLORIDA AND GEORGIA,1016
DYNA-SOAR PROJECT (USAF),1016
Saturn (Planet),1016
"JEWS ABROAD, RELATIONS WITH",1016
INSURANCE PLANS,1016
WELTERWEIGHT,1016
PITTSBURGH PIRATES,1016
CHRISTMAS MAIL,1016
Asbestos,1014
NEW LEFT,1014
RIGHT OF DISSENT AND PATRIOTISM ISSUE,1014
SECRETARIES,1014
EURODOLLARS,1014
NEW - CIVIL RIGHTS LEGIS - PROPOSED CIVIL RIGHTS ACT OF '66,1014
Eskimos,1014
Stained Glass,1014
SHUBERT THEATRES,1014
INTERGOVT RELATONS AND FED GRANTS-IN-AID,1014
TRAINING AND TESTS OF DRIVERS,1014
NE BLACKOUT (NOV 9 '65),1014
Minorities,1014
"PEACE ON EARTH ENCYCLICAL, 2D CONVOCATION ON",1014
US RELATIONS,1014
WALLEYE,1014
RECONNAISSANCE SATELLITES,1014
BOOKS AND ARTICLES BY KHRUSHCHEV,1014
IRISH,1014
CONSUMER ASSEMBLY,1014
BUSINESS MEN'S ROLE IN GOVT AND POL,1014
USSR MANNED SPACE SHIPS III AND IV (LAUNCHED AUG 11 AND AUG 12 '62),1014
Lions,1014
PROBATION SERVICES,1014
POPE'S AND OTHER RC CH PEACE EFFORTS,1014
CAR POOLS,1014
MIDWEST,1014
NOV 7 PAR,1014
AMERICAN LEAGUE,1014
NOV 27 PAR,1014
HATS AND CAPS (MEN'S),1014
ROYAL CANADIAN MOUNTED POLICE,1014
URBAN RENEWAL,1014
DENTAL SURVEY (PUB),1014
KHRUSHCHEV VISIT TO US (1959),1014
ROLL‐CALLS,1014
WOMEN'S EDUCATION AND INSTITUTIONS,1014
3D APRIL 1 PAR,1014
GEMINI PROJECT,1014
MARINE AND AVIATION,1014
NEWSWEEK (PUB),1014
PRESIDENTIAL COMMISSION REPORT ON CIVIL DISORDERS,1014
COMMUNIST LEADERS,1014
STIMULANTS (DRUGS),1014
TRUANCY,1014
GIFTS AND LEGACIES TO UNITED STATES,1014
RACIAL PROBLEMS IN THE NORTH AND WEST,1014
VOTING RIGHTS ACT OF '65 - SUP CT AGREES TO RULE ON ITS CONST,1014
COMMUNSIM ISSUE - CONSERVATISM ISSUE,1014
WILSON VISIT TO FRANCE,1014
1ST AG 14 PAR,1014
WAGE'S AND HRS,1014
"COMMEM NAMINGS, MEMORIALS, STAMPS",1014
1966 SESSION,1014
Radiation,1014
MINAMATA DISEASE,1012
FED-LOCAL GOVT RELATIONSHIPS - STATES-RIGHTS ISSUES,1012
INTERNATL COOPERATION AND VENTURES - PRES JOHNSON ANNOUNCES US WILL SEEK TREATY TO BAR ANY NATION FROM CLAIMING SOVEREIGNTY IN SPACE,1012
WELFARE STATE,1012
PROFIT-SHARING,1012
WHITSUNTIDE,1012
KENNEDY ASSASSINATION - JOHNSON ACCESSION TO PRESIDENCY,1012
ASSASSINATION (GEN),1012
"RACIAL PROBLEMS AND CIVIL RIGHTS ACTIVITIES IN THE NORTH, INCLUDING THE MIDWEST - NEW NEGRO DISORDERS IN WIS, ILL AND MICH",1012
TAILLIGHTS,1012
BERKSHIRE THEATER FESTIVAL,1012
Sharks,1012
WOMEN IN MILITARY FORCES,1012
FED-LOCAL GOVT RELATIONS - STATES-RIGHTS ISSUE - BIG GOVT ISSUE,1012
NEW YORK HERALD TRIBUNE (DEFUNCT),1012
HORSE SHOWS,1012
ORGNS,1012
HOUSE,1012
DENTAL LABORATORY REVIEW (PUB),1012
WASHINGTON SQUARE OUTDOOR ART SHOW,1012
USSR VENUS PROBE 2,1012
PILGRIM EXPLORER SATELLITE PROJECT,1012
Freedom of Assembly,1012
POLICE HEADQUARTERS,1012
5TH O 23 PAR,1012
N 6 PAR,1012
TIROS PROJECT (GEN),1012
EISENHOWER ADMINISTRATION,1012
VOCATIONAL SCHOOLS,1012
COMMERCIAL EDUCATION,1012
FILMS USE,1012
CUBAN SABOTAGE PLOT,1012
"UFA FIREMEN, NYC, BEGIN JOB ACTION IN CONTRACT DISPUTE, FIGHTING FIRES BUT REFUSING TO PERFORM NONEMERGENCY AND MAINTENANCE DUTIES SUCH AS CLEARING SNOW FROM FIREHOUSES AND EQUIPMENT - COMR LOWERY REPTS NO DANGER TO PUB BUT FEARS ESCALATION OF DISPUTE WILL CAUSE HAZARDS - CHIEF O'HAGAN REPTS NUMBER OF FIRE CALLS NORMAL",1012
PRESIDENTIAL ELECTION OF 1956,1012
"APPTMTS, ELECTIONS, RESIGNATIONS AND RETIREMENTS",1012
ROUTE 46,1012
USSR MANNED SPACE SHIPS III AND IV,1012
TRI QUANG (THICH),1012
LUNAR ORBITER 3,1012
INS,1012
MOUTHWASHES,1012
"TRANSIT V-A (US NAVIGATIONAL SATELLITE, LAUNCHED DEC 19 '62)",1012
Midwives,1012
MERCANTILE (NON-BANK),1012
AUDIT AND CONTROL,1012
INTERNAL SECURITY ACT OF 2950 (MCCARRAN ACT),1012
BROADSTREET'S,1012
ARABIC,1012
USSR MANNED SPACESHIPS V AND VI LAUNCHED JUNE 14 AND JUNE 17 '63),1012
HUSSEIN VISIT TO US,1012
PRESIDENT,1012
BRIT--US RELATIONS,1012
ENZYMES,1012
SPANISH,1012
3D-PARTY MOVEMENTS,1012
DENATURALIZATION AND DEPORTATION OF CRIMINALS,1012
TRAINING OF NURSES,1012
IND PRIMARY RESULTS,1012
ACCOUNTING AND ACCOUNTANTS,1012
TERRIER,1012
US SUPPLY,1012
US MANNED ORBITAL FLIGHT I (LAUNCHED FEB 20 '62),1012
PURCHASE,1012
GEMINI VI (LAUNCHED DEC 15 '65),1012
APPENDIX,1012
AGR,1012
PATH,1012
MIL ESTABLISHMENT,1012
FEB 19 PAR,1012
FREEDOM FROM IGNORANCE,1012
STARCH,1012
Sedatives,1012
OSTEOPATHY AND OSTEOPATHS,1012
MITCHELL LAMA PROJECTS,1012
PHONOGRAPHS AND PHONOGRAPH RECORDS,1012
BOND SALES ABROAD,1012
"NATIONAL COLLECTION OF FINE ARTS (WASHINGTON, DC)",1012
CONSUMER PROTECTION AND ENVIRONMENTAL HEALTH SERVICE,1012
CHINESE (COMMUNIST),1010
PAIN‐RELIEVING DRUGS,1010
COMMON CAUSE (ORGN),1010
PEACY TREATY (WORLD WAR II),1010
CO-OPS,1010
COMMUNIST MULTILATERAL RELATIONS,1010
US MANNED ORBITAL FLIGHT I (FEB 20 '62),1010
ENTERTAINMENT,1010
ECON CONDITIONS (GEN),1010
HOSPS AND MED CARE,1010
BATTERY PROJECT,1010
UNITED STATES--COLLEGE AND GRADUATE EDUCATION,1010
SABBATH OBSERVANCE,1010
"CITIZENSHIP, REVOCATION OF",1010
Beards,1010
"EDUCATIONAL FUND, SOUTHERN CONFERENCE",1010
LOYALTY OATHS AND TESTS,1010
HASSAN II VISIT TO UAR,1010
US FINANCING OF WAR COSTS AND AID TO S VIETNAM,1010
ERP (EUROPEAN RECOVERY PROGRAM) (APR 1948‐DEC 1951),1010
BLGDS,1010
Polo,1010
CIVIL RIGHTS MOVEMENT AND PROBLEMS (GENERAL) - CALLS FOR 'BLACK POWER' BY MORE MILITANT NEGRO LEADERS THREATEN TO WIDEN RIFT IN RIGHTS MOVEMENT,1010
"TRIBUTES, ABROAD",1010
PATRIOTISM ISSUE,1010
Marine Biology,1010
"PRICES, PROFITS AND PRICE-WAGE-PROFITS RELATIONS",1010
COSMIC RAYS,1010
GRADUATES,1010
TRADE ASSOCIATIONS,1010
Newsletters,1010
SELF-EXILES,1010
"GEMINI V (US 2-MAN ORBITAL FLIGHT III, LAUNCHED AUG 21 '65)",1010
Storage,1010
D-DAY,1010
"PRICE SPREAD, FARMER-RETAILER",1010
"PYA, STANDARDS AND SUPPLY",1010
STATES' RIGHTS ISSUES,1010
Nose,1010
MARINE INSURANCE,1010
TIME (PUB),1010
MENTALLY RETARDED STUDENTS,1010
Short Selling,1010
PAY STANDARDS AND SUPPLY,1010
Civilian Casualties,1010
JL 5 PAR,1010
BATTLE OF GERMANY,1010
THIRD FORCE MOVES,1010
CURBS ON ALIENS,1010
HOLIDAYS AND VACATIONS,1010
ANNIVS,1010
"AMERICANS FOR FREEDOM, YOUNG",1010
DENTAL INDUSTRY NEWS (PUB),1010
Blood Pressure,1008
BULLS,1008
"INVESTMENT COS, TRUSTS AND COUNSELORS",1008
JAPANESE,1008
D 11 PAR,1008
"EDITORIAL WRITERS, NATIONAL CONFERENCE OF",1008
SOYUZ 2,1008
COAST AND GEODETIC SURVEY,1008
Salt,1008
ELECTRICITY,1008
MIGRANT WORKERS CHILDREN,1008
PROPERTY AND INVESTMENTS,1008
"JEWISH ORGANIZATIONS, CONFERENCE OF PRESIDENTS OF MAJOR AMERICAN",1008
STATES RIGHTS ISSUES - FED-LOCAL GOVT RELA TIONS,1008
Wrestling,1008
MISC ITEMS - POPE'S MOVES FOR PEACE,1008
EUROPEAN-MIDDLE EAST,1008
FREE WORLD UNITY,1008
POF-ECON INTEGRATION,1008
RICHMOND DISTS,1008
KENNEDY VISIT TO ITALY,1008
OUCH OUCH DISEASE (ITAI ITAI),1008
CHECK-CASHING SERVICES (NON-BANKING),1008
TRANSIT IV-B (US NAVIGATION SATELLITE LAUNCHED NOV 15 '61),1008
"TRIBUTES, US",1008
ASSOCIATED PRESS (AP),1008
CABINET,1008
CIVIL RIGHTS MOVEMENT (GENERAL) - CIVIL RIGHTS ACT OF '64 - SPECIAL WHITE HOUSE RIGHTS CONF SET,1008
SMITH ACTIVITIES,1008
"UFA BEGINS WORK SLOWDOWN, WITH STRICT ADHERENCE TO RULEBOOK INSTRUCTIONS, IN CONTINUING CONTRACT DISPUTE WITH NYC - COMR LOWERY SEES NO THREAT TO FIRE PROTECTION",1008
VISIT TO NYC AND UN,1008
2D APRIL 1 PAR,1008
ARMED FORCES RADIO AND TELEVISION NETWORK,1008
"CAR INSPECTION, COMPULSORY",1008
DEFENSE STOCKPILING (SEN SUBCOM) (SYMINGTON),1008
BANK BRANCHING,1008
SEN SUBCOM ON INTERNAL SECURITY,1008
LOYALTY,1008
Quotations and Proverbs,1008
"POLICE ASSNS, NATIONAL CONFERENCE OF",1008
ROCKEFELLER WITHDRAWS AS CANDIDATE FOR NOMINATION,1008
RACIAL PROBLEMS AND CIVIL RIGHTS ACTIVITIES IN THE NORTH AND THE MIDWEST,1008
WESTCHESTER DISTS,1008
Wills and Estates,1008
INTERGOVERNMENTAL RALATIONS AND FEDERAL GRANTS‐IN‐AID,1008
GEMINI VII,1008
COOPER SQ PROJECT (MANHATTAN),1008
TWO PARTY SYSTEM,1008
SIMHATH TORAH,1008
HEADLIGHTS,1008
"TRANSPORTATION FACILITIES, PROPOSED TAXES ON (PARKING FACILITIES, TAXI RIDES, VEHICLE REGIS)",1008
"GEN PEACE APPEALS, PROPOSALS AND MOVES",1008
ARTERIOSCLEROSIS AND ATHEROSCLEROSIS,1008
MACARONI AND SPAGHETTI,1006
ERHARD VISIT TO FRANCE,1006
AMERICAN NATIONS,1006
RESIDENCE REQUIREMENT,1006
INLAND SHIPPING,1006
Molasses,1006
"GOVERNORS CONFERENCE, SOUTHERN",1006
EISENHOWER MEMOIRS,1006
SWEDES,1006
DEAFNESS AND DEAF‐MUTES,1006
JULY 8 PAR,1006
CONSERVATISM ISSUE - EXTREMISM ISSUE - THREATS TO DEMOCRACY,1006
JOHNSON-KOSYGIN CONFERENCE (1967),1006
DATA SECURITY,1006
"OCCUPATION, ALLIED",1006
"KENNEDY, R F, GOODWILL TOUR",1006
ADENAUER VISIT TO FRANCE,1006
CHILD ALLOWANCE PROPOSAL,1006
"HOUSING AND DEVELOPMENT, COORDINATOR OF",1006
2D S 2 PAR,1006
FEDERAL REVENUE‐SHARING PLANS,1006
CONSERVATISM ISSUE - COMMUNISM ISSUE - THREATS TO DEMOCRACY,1006
MEMOIRS PUBLISHED BY THE TIMES,1006
AMERICANS’ ACCOUNTS ABROAD,1006
RACQUETS,1006
ENVIRONMENTAL SCIENCE SERVICES ADMINISTRATION,1006
NON-VOTING MEMBERS,1006
PRESS-TV AND RADIO RIGHTS AND COVERAGE,1006
CONSUME AFFAIRS,1006
ATHENAGORAS I (PATRIARCH),1006
ACQUISITIONS,1006
TRANSFIGURATION CH BOY CHORISTERS,1006
CAUDLE-CONNELLY-SCHWIMMER CASE,1006
ECONOMY END FINANCES,1006
Deodorants,1006
COMMUNISM ISSUE - CONSERVATISM RISE - THREATS TO DEMOCRACY,1006
AMERICAN ASSEMBLY,1004
PEKING OPERA,1004
NY TIMES EDITORIALS AND NEWS ANALYSIS,1004
BOOKS BY KHRUSHCHEV,1004
INTERNATIONAL AGENCIES,1004
BALTIMORE SUNPAPERS,1004
FOREIGN FORCES AND DEFENSE PROGRAMS,1004
ANZUS,1004
LOS ANGELES RIOTS - MCCONE COMM REPT SUBMITTED,1004
"ADDRESSES, LRS AND MESSAGES",1004
FED RESERVE SYSTEM,1004
"MAYORS AND MUNICIPAL OFFICIALS, NY CONFERENCE OF",1004
FED-LOCAL GOVTS RELATIONS - BIG GOVT ISSUE,1004
DECONGESTANT DRUGS,1004
"FOREIGN SECURITIES, TAX ON AMER PURCHASES OF",1004
"WEAPONS USE, ISSUE OF",1004
Irrigation,1004
Pawnbroking,1004
2D N 18 PAR,1004
HEROISM AND HAROES,1004
Atheism,1004
LIBERAL PARTY PLATFORM,1004
DEXTRINE,1004
US ATTYS,1004
CITY REGISTER,1004
FAR EASTERN TOURS,1004
GM,1004
FED-LOCAL GOVT RELATIONS - STATES RIGHTS ISSUE,1004
GENEVA CONFERENCE OF BIG-4 HEADS OF GOVERNMENT (1955),1004
MILITARY ROLE,1004
US SUPPLY AND DISTRIBUTION,1004
ACCTS AND BUDGET PROCEDURES REORGN,1004
"GOVERNORS CONFERENCE, MID-ATLANTIC STATES",1004
LOBBYING,1004
S VIETNAM POL AND ECON AFFAIRS - PREPARATIONS FOR ELECTIONS,1004
HEALTH INS,1002
"RACIAL PROBLEMS AND CIVIL RIGHTS ACTIVITIES IN THE NORTH, INCLUDING THE MIDWEST - C H PERCY WINS SEN RACE, ILL - 'WHITE BACKLASH' LINKED",1002
POPE (PIUS XII) (1876-1958),1002
COMMUNITY RELATIONS SERVICES,1002
US ECON,1002
Private Schools,1002
